,council_id,council_name,region_name,spend_year,spend_category,budget_GBP,actual_spend_GBP,variance_GBP,spend_per_capita_GBP,pct_budget_utilised,funding_source
SP-0640,LA074,Blackburn with Darwen Borough Council,North West,2023,Roads & Transport,34151202,29959400,-4191802,200.4,,Levelling Up Fund
SP-0641,LA074,Blackburn with Darwen Borough Council,North west,2019,Housing & Planning,2136816,2275200,,15.22,106.5,Local Authority Budget
SP-0642,LA074,Blackburn with Darwen Borough Council,North West,2021,Flood & Drainage,4434485,5054700,620215,33.81,114,Levelling Up Fund
SP-0643,LA074,Blackburn with Darwen Borough Council,North West,2022,Flood & Drainage,1662640,"£2,060,200",,13.78,123.9,City Deal
SP-0644,LA074,Blackburn with Darwen Borough Council,North West,2022,Parks & Green Spaces,17986524,,-3681324,95.69,79.5,Mixed Funding
SP-0645,LA074,Blackburn with Darwen Borough Council,NW England,2020,Waste Management,8435332,"£7,697,300",-738032,51.49,91.3,Combined Authority
SP-0646,LA074,Blackburn with Darwen Borough Council,North West ,2022,Digital Infrastructure,22155884,,,150.78,101.7,Central Government Grant
SP-0647,LA074,Blackburn with Darwen Borough Council,North West,2022,Energy & Utilities,30170643,29516900,,197.44,97.8,Local Authority Budget
SP-0648,LA075,Burnley Borough Council,North West,2023,Roads & Transport,33023736,23658300,-9365436,,71.6,Mixed Funding
SP-0649,LA075,Burnley Borough Council,North West,2019,Housing & Planning,"£35,290,339",43066000,7775661,,122,Levelling Up Fund
SP-0650,LA075,Burnley Borough Council,North West,2020,Flood & Drainage,"£24,115,331",19477000,-4638331,207.87,80.8,Levelling Up Fund
SP-0651,LA075,Burnley Borough Council,NW England,2019,Flood & Drainage,"£20,656,242",20083000,-573242,214.33,97.2,Local Authority Budget
SP-0652,LA075,Burnley Borough Council,North West,2019,Parks & Green Spaces,16684035,"£14,141,400",-2542635,150.92,84.8,Combined Authority
SP-0653,LA075,Burnley Borough Council,North West,2021,Parks & Green Spaces,44904450,42792600,-2111850,456.7,95.3,Levelling Up Fund
SP-0654,LA075,Burnley Borough Council,NW England,2022,Waste Management,9578894,10201000,,108.87,106.5,Local Authority Budget
SP-0655,LA075,Burnley Borough Council,North west,2020,Digital Infrastructure,38607359,51291700,12684341,,132.9,City Deal
SP-0656,LA075,Burnley Borough Council,North West,2019,Digital Infrastructure,979547,"£1,125,500",145953,12.01,,Private Finance Initiative
SP-0657,LA075,Burnley Borough Council,North West,2020,Energy & Utilities,1769338,2227300,457962,23.77,125.9,Local Authority Budget
SP-0658,LA075,Burnley Borough Council,North West,2019,Energy & Utilities,35039222,"£42,449,600",7410378,453.04,,Mixed Funding
SP-0659,LA076,Lancaster City Council,North West,2023,Roads & Transport,18422019,,-2178319,115.61,88.2,Combined Authority
SP-0660,LA076,Lancaster City Council,North West,2021,Roads & Transport,"£10,471,258",,1515942,85.32,114.5,Combined Authority
SP-0661,LA076,Lancaster City Council,North West,2021,Housing & Planning,22692899,18813900,-3878999,133.91,82.9,Central Government Grant
SP-0662,LA076,Lancaster City Council,North West,2019,Flood & Drainage,29366412,26555600,-2810812,,90.4,Mixed Funding
SP-0663,LA076,Lancaster City Council,North West,2020,Flood & Drainage,"£41,533,305","£45,652,300",4118995,324.93,109.9,EU Structural Funds
SP-0664,LA076,Lancaster City Council,North West,2022,Parks & Green Spaces,8177006,9372900,1195894,66.71,114.6,Central Government Grant
SP-0665,LA076,Lancaster City Council,North West,2021,Parks & Green Spaces,23090886,29326300,6235414,208.73,127,Combined Authority
SP-0666,LA076,Lancaster City Council,NW England,2022,Waste Management,"£28,545,517",31248100,2702583,222.41,109.5,Central Government Grant
SP-0667,LA076,Lancaster City Council,North West,2021,Digital Infrastructure,"£23,570,041",,-7665341,,67.5,Mixed Funding
SP-0668,LA076,Lancaster City Council,North West,2022,Energy & Utilities,38129166,50981000,12851834,362.85,,Mixed Funding
SP-0669,LA077,Brighton and Hove City Council,South East ,2023,Roads & Transport,11532404,,2090696,46.91,118.1,Mixed Funding
SP-0670,LA077,Brighton and Hove City Council,South East,2022,Roads & Transport,24528344,22370800,-2157544,77.04,91.2,City Deal
SP-0671,LA077,Brighton and Hove City Council,South East,2021,Housing & Planning,20698837,27748700,,,134.1,Combined Authority
SP-0672,LA077,Brighton and Hove City Council,South East,2022,Flood & Drainage,32178288,31507700,-670588,108.5,97.9,Private Finance Initiative
SP-0673,LA077,Brighton and Hove City Council,South East,2023,Parks & Green Spaces,44909765,39656300,-5253465,136.56,88.3,Mixed Funding
SP-0674,LA077,Brighton and Hove City Council,South East,2019,Parks & Green Spaces,42032264,55574800,13542536,191.38,132.2,City Deal
SP-0675,LA077,Brighton and Hove City Council,South East,2019,Waste Management,16710041,"£15,987,900",-722141,55.06,,Levelling Up Fund
SP-0676,LA077,Brighton and Hove City Council,South East,2022,Digital Infrastructure,21587607,27519400,5931793,94.77,127.5,Levelling Up Fund
SP-0677,LA077,Brighton and Hove City Council,South East,2021,Digital Infrastructure,18526907,,5521393,82.81,129.8,Levelling Up Fund
SP-0678,LA077,Brighton and Hove City Council,SE England,2020,Energy & Utilities,21147594,24749200,3601606,85.23,117,Combined Authority
SP-0679,LA078,Southampton City Council,South East,2022,Roads & Transport,8739992,10321700,1581708,40.96,118.1,Private Finance Initiative
SP-0680,LA078,Southampton City Council,South East,2023,Roads & Transport,6520840,,-711140,23.05,89.1,Combined Authority
SP-0681,LA078,Southampton City Council,SE England,2019,Housing & Planning,40809176,30524400,-10284776,121.13,74.8,EU Structural Funds
SP-0682,LA078,Southampton City Council,South East,2019,Flood & Drainage,"£41,778,838","£46,145,900",4367062,183.12,110.5,EU Structural Funds
SP-0683,LA078,Southampton City Council,South East,2022,Parks & Green Spaces,12658313,15152000,2493687,60.13,119.7,Levelling Up Fund
SP-0684,LA078,Southampton City Council,SE England,2021,Waste Management,8367540,8426100,58560,33.44,100.7,EU Structural Funds
SP-0685,LA078,Southampton City Council,South East ,2022,Digital Infrastructure,35604186,25307200,-10296986,100.43,,Mixed Funding
SP-0686,LA078,Southampton City Council,South East,2021,Digital Infrastructure,10840237,13688200,2847963,54.32,126.3,Private Finance Initiative
SP-0687,LA078,Southampton City Council,South East,2022,Energy & Utilities,20809107,,-6381507,57.25,,Mixed Funding
SP-0688,LA079,Portsmouth City Council,South East,2023,Roads & Transport,10255423,7116300,-3139123,,,Levelling Up Fund
SP-0689,LA079,Portsmouth City Council,South East ,2023,Housing & Planning,29664793,27465200,-2199593,,92.6,Local Authority Budget
SP-0690,LA079,Portsmouth City Council,South East,2022,Housing & Planning,42620185,40433300,-2186885,189.12,,Levelling Up Fund
SP-0691,LA079,Portsmouth City Council,South east,2020,Flood & Drainage,23601286,"£17,678,000",-5923286,82.68,74.9,EU Structural Funds
SP-0692,LA079,Portsmouth City Council,South East,2019,Parks & Green Spaces,20162632,15086300,-5076332,70.56,,Combined Authority
SP-0693,LA079,Portsmouth City Council,South east,2023,Parks & Green Spaces,17157309,17271900,114591,80.79,100.7,Local Authority Budget
SP-0694,LA079,Portsmouth City Council,South East,2019,Waste Management,40757203,26843900,-13913303,125.56,65.9,Local Authority Budget
SP-0695,LA079,Portsmouth City Council,South East,2023,Waste Management,26882483,32033400,,149.83,119.2,City Deal
SP-0696,LA079,Portsmouth City Council,South East,2021,Digital Infrastructure,20346027,22168000,1821973,103.69,109,EU Structural Funds
SP-0697,LA079,Portsmouth City Council,South East,2023,Energy & Utilities,17271510,"£22,250,700",4979190,104.07,128.8,Central Government Grant
SP-0698,LA080,Reading Borough Council,SE England,2021,Roads & Transport,37583063,43404800,5821737,257.75,115.5,EU Structural Funds
SP-0699,LA080,Reading Borough Council,South East,2022,Housing & Planning,"£33,230,622","£25,822,100",-7408522,153.34,77.7,Mixed Funding
SP-0700,LA080,Reading Borough Council,South East,2020,Housing & Planning,25496250,28186000,2689750,167.38,,Mixed Funding
SP-0701,LA080,Reading Borough Council,South East,2023,Flood & Drainage,33735795,45106500,11370705,,133.7,Private Finance Initiative
SP-0702,LA080,Reading Borough Council,South East,2020,Flood & Drainage,9171236,8708700,-462536,,95,Levelling Up Fund
SP-0703,LA080,Reading Borough Council,South East,2022,Parks & Green Spaces,29990629,"£27,216,800",-2773829,161.62,90.8,Levelling Up Fund
SP-0704,LA080,Reading Borough Council,South East,2023,Waste Management,31583183,28592900,-2990283,169.79,90.5,City Deal
SP-0705,LA080,Reading Borough Council,South East,2022,Digital Infrastructure,17086433,21116500,4030067,125.39,123.6,Private Finance Initiative
SP-0706,LA080,Reading Borough Council,South East,2022,Energy & Utilities,20227741,17392000,-2835741,103.28,86,Mixed Funding
SP-0707,LA081,Slough Borough Council,SE England,2022,Roads & Transport,3310088,2474100,-835988,16.98,74.7,Local Authority Budget
SP-0708,LA081,Slough Borough Council,South East,2019,Housing & Planning,23606517,18633800,-4972717,127.89,78.9,Local Authority Budget
SP-0709,LA081,Slough Borough Council,South East,2021,Housing & Planning,9155776,10116700,960924,,110.5,Central Government Grant
SP-0710,LA081,Slough Borough Council,South East,2023,Flood & Drainage,"£27,842,128",24502600,,168.17,88,Levelling Up Fund
SP-0711,LA081,Slough Borough Council,South East,2023,Parks & Green Spaces,21818225,"£14,427,700",-7390525,99.02,66.1,Combined Authority
SP-0712,LA081,Slough Borough Council,South East,2019,Parks & Green Spaces,39053266,32740000,-6313266,224.71,,Local Authority Budget
SP-0713,LA081,Slough Borough Council,South East,2019,Waste Management,9247369,11803200,2555831,81.01,127.6,EU Structural Funds
SP-0714,LA081,Slough Borough Council,SE England,2023,Digital Infrastructure,31608534,27344300,-4264234,187.68,86.5,Private Finance Initiative
SP-0715,LA081,Slough Borough Council,South East,2019,Energy & Utilities,"£33,443,932",,10761668,303.4,132.2,EU Structural Funds
SP-0716,LA081,Slough Borough Council,South East,2021,energy & utilities,5853946,7803800,1949854,53.56,133.3,Combined Authority
SP-0717,LA082,Milton Keynes Council,South East,2021,ROADS & TRANSPORT,3010222,2146500,-863722,7.81,71.3,City Deal
SP-0718,LA082,Milton Keynes Council,South East,2022,Housing & Planning,"£14,380,999",11700900,-2680099,42.58,81.4,Levelling Up Fund
SP-0719,LA082,Milton Keynes Council,South East ,2023,Flood & Drainage,34764649,40537400,5772751,147.52,116.6,Central Government Grant
SP-0720,LA082,Milton Keynes Council,South East,2022,Parks & Green Spaces,35431020,36632300,1201280,,103.4,Local Authority Budget
SP-0721,LA082,Milton Keynes Council,South East,2021,Parks & Green Spaces,23782288,28872200,5089912,105.07,121.4,Central Government Grant
SP-0722,LA082,Milton Keynes Council,South East,2022,Waste Management,36012361,35769100,-243261,,99.3,Levelling Up Fund
SP-0723,LA082,Milton Keynes Council,South East,2020,Digital Infrastructure,26964955,,9173545,131.51,134,Mixed Funding
SP-0724,LA082,Milton Keynes Council,South East,2019,Digital Infrastructure,30353047,"£31,824,400",,115.81,104.8,EU Structural Funds
SP-0725,LA082,Milton Keynes Council,South East,2022,Energy & Utilities,38043429,45415200,7371771,165.27,119.4,Levelling Up Fund
SP-0726,LA083,Oxford City Council,South East,2023,Roads & Transport,40119113,49818900,9699787,326.79,124.2,Combined Authority
SP-0727,LA083,Oxford City Council,South East,2019,Roads & Transport,3576296,,-715596,18.76,80,EU Structural Funds
SP-0728,LA083,Oxford City Council,South East,2021,Housing & Planning,7834482,5508100,-2326382,,70.3,Local Authority Budget
SP-0729,LA083,Oxford City Council,South East,2019,Flood & Drainage,13226063,,,90.51,104.3,EU Structural Funds
SP-0730,LA083,Oxford City Council,SE England,2019,Parks & Green Spaces,11341185,14927000,3585815,,131.6,Mixed Funding
SP-0731,LA083,Oxford City Council,South East,2023,Waste Management,5054000,"£5,934,900",880900,38.93,117.4,Levelling Up Fund
SP-0732,LA083,Oxford City Council,SE England,2020,Waste Management,4293844,,,26.3,93.4,Central Government Grant
SP-0733,LA083,Oxford City Council,South East,2020,Digital Infrastructure,"£40,967,270",53579400,12612130,351.46,130.8,EU Structural Funds
SP-0734,LA083,Oxford City Council,South East,2023,Digital Infrastructure,27241191,28048200,807009,183.98,103,Combined Authority
SP-0735,LA083,Oxford City Council,South East ,2022,Energy & Utilities,42667359,29749900,-12917459,195.15,69.7,Local Authority Budget
SP-0736,LA084,Canterbury City Council,South East,2020,Roads & Transport,18649049,"£20,449,900",,,109.7,EU Structural Funds
SP-0737,LA084,Canterbury City Council,South East,2019,Housing & Planning,43904085,"£55,294,800",11390715,333.5,125.9,Private Finance Initiative
SP-0738,LA084,Canterbury City Council,South East,2021,Flood & Drainage,43868905,56924300,13055395,343.33,129.8,Private Finance Initiative
SP-0739,LA084,Canterbury City Council,South East,2020,Parks & Green Spaces,15389684,,-2053884,80.43,86.7,Local Authority Budget
SP-0740,LA084,Canterbury City Council,South East,2020,Waste Management,9651270,6550500,-3100770,39.51,67.9,Levelling Up Fund
SP-0741,LA084,Canterbury City Council,South East,2023,Digital Infrastructure,7699981,8168300,468319,49.27,106.1,Mixed Funding
SP-0742,LA084,Canterbury City Council,South East,2021,Energy & Utilities,"£22,445,834",28967200,6521366,174.71,129.1,Combined Authority
SP-0743,LA085,Maidstone Borough Council,South East,2021,Roads & Transport,37980150,33306300,-4673850,189.03,87.7,Private Finance Initiative
SP-0744,LA085,Maidstone Borough Council,South East ,2019,Housing & Planning,18908877,24601400,5692523,139.62,130.1,Levelling Up Fund
SP-0745,LA085,Maidstone Borough Council,South East ,2020,Flood & Drainage,36106172,32267600,-3838572,183.13,89.4,Levelling Up Fund
SP-0746,LA085,Maidstone Borough Council,South East,2021,Parks & Green Spaces,17220339,11473300,-5747039,65.12,66.6,Private Finance Initiative
SP-0747,LA085,Maidstone Borough Council,South East,2021,Waste Management,21165575,16456400,-4709175,93.4,77.8,Combined Authority
SP-0748,LA085,Maidstone Borough Council,South East,2020,Waste Management,31842473,37584400,5741927,213.31,118,Mixed Funding
SP-0749,LA085,Maidstone Borough Council,South East,2019,Digital Infrastructure,19918648,25478300,5559652,144.6,127.9,Combined Authority
SP-0750,LA085,Maidstone Borough Council,South East,2023,Energy & Utilities,33648721,30967400,,175.75,92,Private Finance Initiative
SP-0751,LA085,Maidstone Borough Council,South East,2019,Energy & Utilities,12797293,,-1126193,66.24,91.2,Levelling Up Fund
SP-0752,LA086,Medway Council,South East ,2023,Roads & Transport,5375991,"£6,706,300",,24.07,124.7,City Deal
SP-0753,LA086,Medway Council,South East,2021,Housing & Planning,38581368,46216200,7634832,165.89,119.8,Levelling Up Fund
SP-0754,LA086,Medway Council,South East,2022,Flood & Drainage,"£32,884,126",33803000,918874,121.33,102.8,Levelling Up Fund
SP-0755,LA086,Medway Council,South East,2022,Parks & Green Spaces,30389305,33856500,3467195,121.52,111.4,Local Authority Budget
SP-0756,LA086,Medway Council,South East ,2020,Parks & Green Spaces,6457491,4259600,-2197891,15.29,66,Mixed Funding
SP-0757,LA086,Medway Council,South East,2021,Waste Management,43980978,48642800,4661822,174.6,110.6,City Deal
SP-0758,LA086,Medway Council,South East,2020,Digital Infrastructure,26891599,22478500,-4413099,80.68,83.6,EU Structural Funds
SP-0759,LA086,Medway Council,South east,2022,Energy & Utilities,6486149,6090100,-396049,21.86,93.9,Mixed Funding
SP-0760,LA086,Medway Council,South east,2023,Energy & Utilities,14299982,11954600,-2345382,42.91,,EU Structural Funds
SP-0761,LA087,Thanet District Council,South East,2022,Roads & Transport,"£10,023,585",13223900,3200315,94.86,131.9,Central Government Grant
SP-0762,LA087,Thanet District Council,South East ,2023,Housing & Planning,"£22,823,236","£19,199,200",-3624036,137.73,84.1,Levelling Up Fund
SP-0763,LA087,Thanet District Council,South East ,2020,Flood & Drainage,23334855,"£18,617,700",-4717155,133.56,79.8,Levelling Up Fund
SP-0764,LA087,Thanet District Council,South East,2021,Flood & Drainage,24282741,17970900,-6311841,128.92,74,Central Government Grant
SP-0765,LA087,Thanet District Council,South East,2019,Parks & Green Spaces,26918491,25104400,-1814091,180.09,93.3,Mixed Funding
SP-0766,LA087,Thanet District Council,South East,2019,Waste Management,1879509,1784500,-95009,12.8,94.9,Central Government Grant
SP-0767,LA087,Thanet District Council,South East,2020,Waste Management,"£32,989,639",31936400,-1053239,229.1,,Private Finance Initiative
SP-0768,LA087,Thanet District Council,South East,2023,Digital Infrastructure,13503578,17288300,3784722,124.02,,Combined Authority
SP-0769,LA087,Thanet District Council,South East,2020,Energy & Utilities,21520068,23121200,1601132,165.86,107.4,Levelling Up Fund
SP-0770,LA088,Folkestone and Hythe District Council,South east,2021,Roads & Transport,10990936,9526700,-1464236,84.91,,Mixed Funding
SP-0771,LA088,Folkestone and Hythe District Council,South East,2023,Housing & Planning,18238585,"£14,979,000",-3259585,,,Levelling Up Fund
SP-0772,LA088,Folkestone and Hythe District Council,South East,2022,Flood & Drainage,24337924,19195400,-5142524,171.08,78.9,Mixed Funding
SP-0773,LA088,Folkestone and Hythe District Council,South East,2019,Flood & Drainage,36185776,37912800,1727024,337.9,104.8,Private Finance Initiative
SP-0774,LA088,Folkestone and Hythe District Council,South East,2021,Parks & Green Spaces,29548192,,7863608,333.44,126.6,Combined Authority
SP-0775,LA088,Folkestone and Hythe District Council,South East,2020,Waste Management,28541638,"£36,485,900",7944262,325.19,127.8,Mixed Funding
SP-0776,LA088,Folkestone and Hythe District Council,SE England,2022,Digital Infrastructure,16613664,22139900,5526236,197.33,133.3,Mixed Funding
SP-0777,LA088,Folkestone and Hythe District Council,South East,2021,Energy & Utilities,3866884,4831400,964516,43.06,124.9,Combined Authority
SP-0778,LA089,Eastbourne Borough Council,SE England,2020,Roads & Transport,6916912,6300500,-616412,61.29,91.1,Levelling Up Fund
SP-0779,LA089,Eastbourne Borough Council,South East,2023,Housing & Planning,"£19,992,054",17679300,-2312754,171.98,88.4,Combined Authority
SP-0780,LA089,Eastbourne Borough Council,South East ,2023,Flood & Drainage,19277615,15387500,-3890115,149.68,79.8,EU Structural Funds
SP-0781,LA089,Eastbourne Borough Council,South East,2020,Parks & Green Spaces,"£38,396,503",25321900,-13074603,246.32,65.9,EU Structural Funds
SP-0782,LA089,Eastbourne Borough Council,South East,2022,Waste Management,31414006,31050500,,302.05,98.8,City Deal
SP-0783,LA089,Eastbourne Borough Council,South East,2021,Digital Infrastructure,"£3,722,844",2788500,-934344,27.13,74.9,Levelling Up Fund
SP-0784,LA089,Eastbourne Borough Council,South East ,2023,Energy & Utilities,"£27,348,789",35606000,8257211,346.36,130.2,City Deal
SP-0785,LA090,Hastings Borough Council,South East,2019,Roads & Transport,14031950,11525900,-2506050,125.55,82.1,Levelling Up Fund
SP-0786,LA090,Hastings Borough Council,South East,2022,Housing & Planning,"£36,734,195","£36,804,200",70005,400.92,100.2,Local Authority Budget
SP-0787,LA090,Hastings Borough Council,SE England,2022,Flood & Drainage,9909855,10976400,1066545,119.57,110.8,Combined Authority
SP-0788,LA090,Hastings Borough Council,South East,2023,Flood & Drainage,22442631,18451000,-3991631,200.99,82.2,Combined Authority
SP-0789,LA090,Hastings Borough Council,SE England,2021,Parks & Green Spaces,"£16,315,105",,-990605,166.93,93.9,Levelling Up Fund
SP-0790,LA090,Hastings Borough Council,South East,2020,Parks & Green Spaces,"£36,230,708",36628700,397992,399.01,,Combined Authority
SP-0791,LA090,Hastings Borough Council,South East,2023,Waste Management,28742905,27019800,,294.33,94,EU Structural Funds
SP-0792,LA090,Hastings Borough Council,South East,2021,Digital Infrastructure,10095820,6617100,-3478720,72.08,65.5,EU Structural Funds
SP-0793,LA090,Hastings Borough Council,SE England,2023,Digital Infrastructure,25066127,19963400,-5102727,217.47,79.6,Central Government Grant
SP-0794,LA090,Hastings Borough Council,South East,2021,Energy & Utilities,"£30,165,312",23458500,-6706812,255.54,77.8,EU Structural Funds
SP-0795,LA091,Worthing Borough Council,South East,2020,Roads & Transport,43874509,44692700,818191,407.04,101.9,Combined Authority
SP-0796,LA091,Worthing Borough Council,South East,2021,Housing & Planning,8912526,"£6,385,200",-2527326,58.15,71.6,EU Structural Funds
SP-0797,LA091,Worthing Borough Council,SE England,2020,Housing & Planning,"£30,138,610",38855000,8716390,353.87,,Local Authority Budget
SP-0798,LA091,Worthing Borough Council,South East,2021,Flood & Drainage,8081916,"£9,157,500",1075584,83.4,113.3,Combined Authority
SP-0799,LA091,Worthing Borough Council,South East,2021,Parks & Green Spaces,21109336,"£22,056,900",,200.88,104.5,Combined Authority
SP-0800,LA091,Worthing Borough Council,South East,2020,Waste Management,27624848,30563100,2938252,278.35,110.6,City Deal
SP-0801,LA091,Worthing Borough Council,South East,2023,Waste Management,40973329,49570200,8596871,451.46,121,Levelling Up Fund
SP-0802,LA091,Worthing Borough Council,South East,2022,Digital Infrastructure,2639256,"£3,097,700",458444,28.21,117.4,Private Finance Initiative
SP-0803,LA091,Worthing Borough Council,South East,2021,Energy & Utilities,"£6,762,432","£6,148,200",-614232,55.99,90.9,Combined Authority
SP-0804,LA092,Crawley Borough Council,South east,2021,Roads & Transport,12395737,,,85.07,80.2,Combined Authority
SP-0805,LA092,Crawley Borough Council,South East,2023,Housing & Planning,1906371,1285800,-620571,11.01,67.4,Private Finance Initiative
SP-0806,LA092,Crawley Borough Council,South East,2019,Flood & Drainage,"£15,286,123",12545700,-2740423,107.41,82.1,Mixed Funding
SP-0807,LA092,Crawley Borough Council,South East,2021,Parks & Green Spaces,5705669,5570400,-135269,47.69,97.6,City Deal
SP-0808,LA092,Crawley Borough Council,South East,2020,Waste Management,41800772,,-11966772,255.43,71.4,Local Authority Budget
SP-0809,LA092,Crawley Borough Council,South East,2019,Digital Infrastructure,44022319,"£58,396,800",14374481,499.97,132.7,Levelling Up Fund
SP-0810,LA092,Crawley Borough Council,SE England,2019,Energy & Utilities,33713611,28383100,-5330511,243.01,84.2,Combined Authority
SP-0811,LA093,Bristol City Council,South West,2023,Roads & Transport,8563448,"£7,413,700",,15.87,86.6,City Deal
SP-0812,LA093,Bristol City Council,SW England,2019,Housing & Planning,"£11,447,549",8444400,-3003149,18.08,,Central Government Grant
SP-0813,LA093,Bristol City Council,South West,2023,Flood & Drainage,3177567,2202500,-975067,4.72,69.3,Mixed Funding
SP-0814,LA093,Bristol City Council,South West,2022,Flood & Drainage,7171033,9502200,2331167,20.34,,Private Finance Initiative
SP-0815,LA093,Bristol City Council,South West,2022,Parks & Green Spaces,41248392,37720700,-3527692,80.76,91.4,Combined Authority
SP-0816,LA093,Bristol City Council,South West,2019,Waste Management,25180148,"£33,479,300",8299152,71.67,133,City Deal
SP-0817,LA093,Bristol City Council,South West,2022,digital infrastructure,17743110,22058900,4315790,47.23,124.3,Levelling Up Fund
SP-0818,LA093,Bristol City Council,South West,2022,Energy & Utilities,1610072,1999800,389728,4.28,124.2,Local Authority Budget
SP-0819,LA094,Plymouth City Council,South west,2022,Roads & Transport,42629124,33323700,-9305424,126.13,78.2,Levelling Up Fund
SP-0820,LA094,Plymouth City Council,South West,2020,Housing & Planning,43133234,39954000,-3179234,151.23,92.6,Combined Authority
SP-0821,LA094,Plymouth City Council,South West ,2019,Flood & Drainage,29128794,31685000,2556206,119.93,108.8,Private Finance Initiative
SP-0822,LA094,Plymouth City Council,South West,2023,Flood & Drainage,2177940,"£2,083,200",-94740,7.88,,Private Finance Initiative
SP-0823,LA094,Plymouth City Council,South West,2022,Parks & Green Spaces,25273257,,-3792457,81.31,85,Combined Authority
SP-0824,LA094,Plymouth City Council,South West,2019,Waste Management,32560490,24862700,,94.11,76.4,City Deal
SP-0825,LA094,Plymouth City Council,South West ,2020,Digital Infrastructure,10239633,8336800,-1902833,31.55,81.4,Levelling Up Fund
SP-0826,LA094,Plymouth City Council,South West,2023,DIGITAL INFRASTRUCTURE,19128357,,-831357,69.25,95.7,Levelling Up Fund
SP-0827,LA094,Plymouth City Council,South West,2020,Energy & Utilities,44530924,"£45,400,300",869376,171.84,102,Levelling Up Fund
SP-0828,LA094,Plymouth City Council,South West,2019,Energy & Utilities,43735875,50669400,6933525,,115.9,Combined Authority
SP-0829,LA095,Exeter City Council,South West,2020,Roads & Transport,8092985,5709200,-2383785,43.82,70.5,Central Government Grant
SP-0830,LA095,Exeter City Council,South West,2022,Housing & Planning,13609787,,-3722887,75.88,,Local Authority Budget
SP-0831,LA095,Exeter City Council,South West,2023,Housing & Planning,27553030,,-7558930,153.45,72.6,Local Authority Budget
SP-0832,LA095,Exeter City Council,South West ,2021,Flood & Drainage,9356843,10582100,1225257,,113.1,Central Government Grant
SP-0833,LA095,Exeter City Council,South West ,2023,Parks & Green Spaces,28508895,22282500,-6226395,171.01,78.2,Mixed Funding
SP-0834,LA095,Exeter City Council,South West,2022,Waste Management,"£38,090,448",,9124352,362.35,124,EU Structural Funds
SP-0835,LA095,Exeter City Council,South West,2023,Digital Infrastructure,7603152,"£6,820,600",-782552,,89.7,Private Finance Initiative
SP-0836,LA095,Exeter City Council,South West,2022,Digital Infrastructure,42426779,40179500,-2247279,308.36,94.7,Private Finance Initiative
SP-0837,LA095,Exeter City Council,South West,2019,Energy & Utilities,6921541,8910000,1988459,68.38,128.7,City Deal
SP-0838,LA095,Exeter City Council,South West ,2020,Energy & Utilities,18809701,17529300,-1280401,134.53,93.2,EU Structural Funds
SP-0839,LA096,Gloucester City Council,South West ,2020,Roads & Transport,5484462,3802100,-1682362,,69.3,City Deal
SP-0840,LA096,Gloucester City Council,South West,2023,Roads & Transport,14006781,,-3828681,78.41,72.7,Combined Authority
SP-0841,LA096,Gloucester City Council,South West,2019,Housing & Planning,"£43,368,110",32425600,-10942510,249.81,74.8,Private Finance Initiative
SP-0842,LA096,Gloucester City Council,South West,2022,Flood & Drainage,3935256,"£4,895,800",960544,37.72,124.4,City Deal
SP-0843,LA096,Gloucester City Council,South West,2021,Parks & Green Spaces,"£21,318,745",18537600,-2781145,142.82,87,Central Government Grant
SP-0844,LA096,Gloucester City Council,South West,2020,Waste Management,19207244,21986900,2779656,169.39,114.5,Combined Authority
SP-0845,LA096,Gloucester City Council,South West,2023,Digital Infrastructure,41437218,46772000,5334782,360.34,,Local Authority Budget
SP-0846,LA096,Gloucester City Council,South West,2023,Energy & Utilities,"£35,778,361",,-2585461,255.72,92.8,Mixed Funding
SP-0847,LA097,Cheltenham Borough Council,South West ,2023,Roads & Transport,33880264,25871700,-8008564,215.78,76.4,Local Authority Budget
SP-0848,LA097,Cheltenham Borough Council,SW England,2019,Housing & Planning,40440387,30450100,-9990287,253.96,,Local Authority Budget
SP-0849,LA097,Cheltenham Borough Council,South West,2019,Flood & Drainage,"£44,837,564",,-8112164,306.3,81.9,Local Authority Budget
SP-0850,LA097,Cheltenham Borough Council,South West,2019,Parks & Green Spaces,43500426,"£38,133,300",-5367126,,87.7,Levelling Up Fund
SP-0851,LA097,Cheltenham Borough Council,South west,2023,Waste Management,"£15,405,817",16770700,1364883,139.87,108.9,Levelling Up Fund
SP-0852,LA097,Cheltenham Borough Council,South West,2022,Waste Management,43427104,37335400,-6091704,311.39,86,Mixed Funding
SP-0853,LA097,Cheltenham Borough Council,South West,2019,Digital Infrastructure,23666899,20176300,-3490599,,,Local Authority Budget
SP-0854,LA097,Cheltenham Borough Council,South West,2021,Energy & Utilities,30074814,,,253.87,101.2,Central Government Grant
SP-0855,LA098,Swindon Borough Council,South West,2020,Roads & Transport,"£23,856,890",17844900,-6011990,80.45,74.8,City Deal
SP-0856,LA098,Swindon Borough Council,South West,2022,Housing & Planning,11698796,11787800,89004,53.15,100.8,EU Structural Funds
SP-0857,LA098,Swindon Borough Council,South West,2023,Housing & Planning,34725847,30956200,-3769647,,89.1,City Deal
SP-0858,LA098,Swindon Borough Council,South West,2020,Flood & Drainage,"£28,956,255",31668600,2712345,142.78,109.4,Private Finance Initiative
SP-0859,LA098,Swindon Borough Council,South West,2019,Parks & Green Spaces,4601374,5326900,725526,24.02,115.8,EU Structural Funds
